화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,여성용-대변기수,화장실입구cctv설치유무,기저귀교환대장소,전화번호,개방시간
가문동포구,,제주특별자치도 제주시 애월읍 하귀2리 2729-1,N,1,2,N,없음,064-728-8883,24시간
감수탕,제주특별자치도 제주시 감수북길 41,제주특별자치도 제주시 삼양이동 1965-3,N,1,2,N,없음,064-728-8175,24시간
검멀레,제주특별자치도 제주시 우도면 우도해안길 1142,제주특별자치도 제주시 우도면 연평리 318-2,N,3,3,N,없음,064-728-4342,24시간
검멀레주차장,제주특별자치도 제주시 우도면 우도해안길 1122,제주특별자치도 제주시 우도면 연평리 312,N,1,3,N,없음,064-728-4342,24시간
고내봉산책로,제주특별자치도 제주시 애월읍 고하상로 78-5,제주특별자치도 제주시 애월읍 하가리 1632-1,N,1,1,N,없음,064-728-8883,24시간
고산수월봉,,제주특별자치도 제주시 한경면 고산리 3758-2,N,2,4,N,없음,064-728-7952,24시간
고산엉알,,제주특별자치도 제주시 한경면 고산리 3653-3,N,1,2,N,없음,064-728-7952,24시간
공항입구주차장,제주특별자치도 제주시 다호북길 7,제주특별자치도 제주시 용담이동 1611,N,1,2,N,없음,064-728-3246,24시간
곽지과물해변통시,,제주특별자치도 제주시 애월읍 곽지리 1565-20,N,3,8,N,없음,064-728-8884,24시간
곽지해수욕장,,제주특별자치도 제주시 애월읍 곽지리 1566,N,5,8,N,없음,064-728-8884,24시간
곽지해수욕장서측(관광진흥과),,제주특별자치도 제주시 애월읍 곽지리 1565,N,4,7,N,없음,064-728-2765,24시간
관곶,,제주특별자치도 제주시 조천읍 신흥리 792-2,N,1,1,N,없음,064-728-8765,24시간
광령저수지 남쪽,,제주특별자치도 제주시 애월읍 광령리 3602-2,N,1,1,N,없음,064-728-8883,24시간
교래마을운동장,,제주특별자치도 제주시 조천읍 교래리 188,N,1,2,N,없음,064-728-7865,24시간
구좌공설묘지,,제주특별자치도 제주시 구좌읍 송당리 54-1,N,1,2,N,없음,064-728-7745,24시간
구좌충혼묘지,,제주특별자치도 제주시 구좌읍 세화리 1085-6,N,1,1,N,남자화장실+여자화장실,064-728-7745,24시간
궤물동산,,제주특별자치도 제주시 한림읍 귀덕리 3025-2,N,1,1,N,없음,064-728-7656,24시간
궤물오름주차장(남),,제주특별자치도 제주시 애월읍 유수암리 1191-2,N,2,0,N,없음,064-728-8883,24시간
궤물오름주차장(여),,제주특별자치도 제주시 애월읍 유수암리 1191-2,N,0,2,N,없음,064-728-8883,24시간
귀덕1리동방파제,제주특별자치도 제주시 한림읍 귀덕11길 23-3,제주특별자치도 제주시 한림읍 귀덕리 976-13,N,1,2,N,없음,064-728-7656,24시간
귀덕2리방파제,제주특별자치도 제주시 한림읍 한림해안로 621,제주특별자치도 제주시 한림읍 귀덕리 4110-2,N,1,2,N,없음,064-728-7656,24시간
그린공원 배드민턴장,,제주특별자치도 제주시 일도이동 46-2,N,1,1,N,없음,064-728-8023,24시간
그린쉼터(그린공원 내),,제주특별자치도 제주시 일도이동 46-2,N,1,2,N,없음,064-728-8023,24시간
금능리 포구,제주특별자치도 제주시 한림읍 금능7길 23,제주특별자치도 제주시 한림읍 금능리 1494-1,N,3,3,N,여자화장실,064-728-7656,24시간
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2036-1,N,3,8,N,없음,064-728-7656,24시간
금등소공원,,제주특별자치도 제주시 한경면 금등리 697-3,N,1,2,N,없음,064-728-7952,24시간
기상청 인근,제주특별자치도 제주시 만덕로6길 24-6,제주특별자치도 제주시 일도일동 1181-1,N,2,2,N,없음,064-728-4416,24시간
김녕해녀작업장,,제주특별자치도 제주시 구좌읍 김녕리 1270-6,N,1,1,N,남자화장실+여자화장실,064-728-7745,24시간
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 9,제주특별자치도 제주시 구좌읍 김녕리 497-4,N,2,3,N,여자화장실,064-728-7745,24시간
낙천테마마을,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913,N,1,3,N,여자화장실,064-728-7952,24시간
남또르쉼터,,제주특별자치도 제주시 애월읍 신엄리 2802,N,1,2,N,없음,064-728-8883,24시간
남생이못,,제주특별자치도 제주시 조천읍 신촌리 2497,N,1,2,N,없음,064-728-8765,24시간
남조봉공원,,제주특별자치도 제주시 오라이동 산 21-1,N,1,3,N,없음,064-728-3605,24시간
납읍난대림,제주특별자치도 제주시 애월읍 납읍로2길 36,제주특별자치도 제주시 애월읍 납읍리 1526-1,N,3,6,N,없음,064-728-8883,24시간
내도화장실,제주특별자치도 제주시 테우해안로 65,제주특별자치도 제주시 내도동 461-4,N,1,1,N,남자화장실+여자화장실,064-728-8314,24시간
노루생태관찰원 1,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산 51-2,N,3,5,N,여자화장실,064-728-3613,9시간
노루생태관찰원 2,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산 51-2,N,3,6,N,여자화장실,064-728-3613,9시간
노형 제1근린공원,제주특별자치도 제주시 정존5길 67,제주특별자치도 제주시 노형동 2584-1,N,3,6,N,남자화장실+여자화장실,064-728-3605,24시간
노형 제2근린공원,제주특별자치도 제주시 월광로 116,제주특별자치도 제주시 노형동 2582-1,N,3,4,N,없음,064-728-3605,24시간
