관광지명,주변시설종류,명칭,주소
낙천의자공원,음식점,뚱보아저씨,제주특별자치도 제주시 한경면 중산간서로 3651
낙천의자공원,음식점,제주순메일막국수,제주특별자치도 서귀포시 안덕면 녹차분재로 60
낙천의자공원,음식점,오름과바당,제주특별자치도 제주시 한경면 녹차분재로 531
낙천의자공원,숙박시설,블루하와이호텔,제주특별자치도 제주시 한림읍 한림로 75
낙천의자공원,화장실,저지오름,제주특별자치도 제주시 한경면 저지리 산 50-8
낙천의자공원,화장실,올레13코스,제주특별자치도 제주시 한경면 용수리 715-1
북촌마을해안길,음식점,고집돌우럭 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9
북촌마을해안길,음식점,순옥이네전복,제주특별자치도 제주시 조천읍 함덕로 6
북촌마을해안길,음식점,햇살가득돌답집,제주특별자치도 제주시 조천읍 함대로 25-1
북촌마을해안길,숙박시설,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490
북촌마을해안길,숙박시설,라마다 바이 윈덤 제주 더 함덕,제주특별자치도 제주시 조천읍 신북로 470
북촌마을해안길,화장실,동복어촌정주어항,제주특별자치도 제주시 구좌읍 동복리 1585-2
북촌마을해안길,화장실,서우봉해변야영장,제주특별자치도 제주시 조천읍 조함해안로 585
새별오름,음식점,녹색식당,제주특별자치도 제주시 애월읍 애원로 917
새별오름,음식점,제주메밀식당,제주특별자치도 서귀포시 안덕면 산록남로 675
새별오름,음식점,송림산장,제주특별자치도 서귀포시 안덕면 산록남로 415
새별오름,숙박시설,제주유스호스텔,제주특별자치도 제주시 애월읍 방축길 128
새별오름,화장실,궤물오름주차장,제주특별자치도 제주시 애월읍 유수암리 1191-2
김녕고장난길,음식점,제주오누이식당,제주특별자치도 제주시 구좌읍 해맞이해안로 972
김녕고장난길,숙박시설,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626
김녕고장난길,화장실,김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 9
김녕고장난길,관광지,북촌너븐숭이4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3
김녕고장난길,관광지,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3
토끼섬과하도포구,음식점,명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282
토끼섬과하도포구,음식점,하도1940,제주특별자치도 제주시 구좌읍 해맞이해안로 1681-3
토끼섬과하도포구,음식점,수니테이블,제주특별자치도 제주시 구좌읍 문주란로 33-1
토끼섬과하도포구,음식점,알로하스위트,제주특별자치도 제주시 구좌읍 하도서문길 39
토끼섬과하도포구,음식점,살찐고등어,제주특별자치도 제주시 구좌읍 해맞이해안로 1708
토끼섬과하도포구,음식점,하도핑크,제주특별자치도 제주시 구좌읍 문주란로1길 43 
토끼섬과하도포구,음식점,연미정,제주특별자치도 제주시 구좌읍 세평항로 14 
토끼섬과하도포구,숙박시설,하바나리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6
토끼섬과하도포구,숙박시설,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20
토끼섬과하도포구,숙박시설,봄그리고가을 리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
토끼섬과하도포구,화장실,창흥동해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1973
토끼섬과하도포구,화장실,해녀박물관 축구장 옆 주차장,제주특별자치도 제주시 구좌읍 하도리 3207
구엄돌염전,음식점,해성도뚜리가든,제주특별자치도 제주시 애월읍 애월해안로 682
구엄돌염전,음식점,참좋은해물라면,제주특별자치도 제주시 애월읍 애월해안로 724
구엄돌염전,음식점,구엄해녀수산,제주특별자치도 제주시 애월읍 애월해안로 715-1
구엄돌염전,음식점,전설의마녀,제주특별자치도 제주시 애월읍 애월해안로 715
구엄돌염전,음식점,애월집,제주특별자치도 제주시 애월읍 애월해안로 690
구엄돌염전,음식점,바당한그릇,제주특별자치도 제주시 애월읍 애월해안로 552-3
구엄돌염전,숙박시설,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9
구엄돌염전,숙박시설,다인 오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394
구엄돌염전,숙박시설,베니키아 호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10 
구엄돌염전,화장실,다락쉼터,제주특별자치도 제주시 애월읍 고내리 461-1
금성비단교산책길,음식점,심바카레,제주특별자치도 제주시 애월읍 금성5길 44-16
금성비단교산책길,음식점,우미노식탁,제주특별자치도 제주시 애월읍 금성5길 42-24
금성비단교산책길,음식점,임순이네,제주특별자치도 제주시 애월읍 곽지1길 26-7
금성비단교산책길,음식점,곽지식당,제주특별자치도 제주시 애월읍 곽지3길 27
금성비단교산책길,음식점,큰여식당,제주특별자치도 제주시 한림읍 일주서로 5889
금성비단교산책길,숙박시설,블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77
금성비단교산책길,화장실,곽지해수욕장공중화장실,제주특별자치도 제주시 애월읍 곽지리 1565
신엄포구산책길,음식점,정직한돈,제주특별자치도 제주시 애월읍 애월해안로 253
신엄포구산책길,음식점,제주김만복 애월점,제주특별자치도 제주시 애월읍 애월해안로 255
신엄포구산책길,음식점,라스또르따스,제주특별자치도 제주시 애월읍 애월해안로 274 
신엄포구산책길,음식점,명리동식당,제주특별자치도 제주시 애월읍 애월해안로 384-8
신엄포구산책길,음식점,뚱딴지,제주특별자치도 제주시 애월읍 부룡수길 17
신엄포구산책길,음식점,바당한그릇,제주특별자치도 제주시 애월읍 애월해안로 552-3
신엄포구산책길,숙박시설,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9
신엄포구산책길,숙박시설,다인 오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394
신엄포구산책길,숙박시설,베니키아 호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10 
신엄포구산책길,화장실,다락쉼터,제주특별자치도 제주시 애월읍 고내리 461-1
신도포구(돌고래소공원),음식점,어촌계식당,제주특별자치도 서귀포시 대정읍 노을해안로 724
신도포구(돌고래소공원),음식점,수월봉가마솥순대국,제주특별자치도 제주시 한경면 고산서2길 18
신도포구(돌고래소공원),숙박시설,블루하와이호텔,제주특별자치도 제주시 한림읍 한림로 75
신도포구(돌고래소공원),화장실,고산수월봉,제주특별자치도 제주시 한경면 고산리 3758-2
신도포구(돌고래소공원),화장실,자구네포구,제주특별자치도 제주시 한경면 고산리 3616-25
송당당오름산책길과소원길,음식점,홍대감 더덕 토종닭,제주특별자치도 제주시 구좌읍 비자림로 1772
송당당오름산책길과소원길,숙박시설,비자림힐링 팬션,제주특별자치도 제주시 구좌읍다랑쉬북로 68-35
송당당오름산책길과소원길,화장실,거슨세미오름,제주특별자치도 제주시 구좌읍 송당리 산 145-2
송당당오름산책길과소원길,관광지,워터서커스,제주특별자치도 제주시 구좌읍 번영로 2172-80  
송당당오름산책길과소원길,관광지,서계자연유산센터,제주특별자치도 제주시 조천읍 선교로 569-36 
송당당오름산책길과소원길,관광지,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55 
송당당오름산책길과소원길,관광지,스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930 
너븐숭이4.3기념관과 북촌4.3길 ,음식점,고집돌우럭 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9
